anmerkung_gedruckt_von;anmerkung_Drucker;Drucker;gnd_Drucker;tw_id;ISNI;IDD
null;null;Silvan Otmar;129241172;null;null;IDD-137
null;null;Erhard Oeglin;13056267X;null;null;IDD-138
Johann Knobloch (I);null;Johannes Herwagen;119707950;null;null;IDD-139
Johann Froben, and Johann Petri de Langendorff (USTC);null;Johann Froben;118955179;null;null;IDD-140
Johann Froben, and Johann Petri de Langendorff (USTC);null;Johann Petri;123250889;null;null;IDD-140
Johann Froben, for Johann Amerbach, and Johann Petri de Langendorff (USTC);null;Johann Amerbach;123073189;null;null;IDD-141
Johann Froben, for Johann Amerbach, and Johann Petri de Langendorff (USTC);null;Johann Froben;118955179;null;null;IDD-141
Johann Froben, for Johann Amerbach, and Johann Petri de Langendorff (USTC);null;Johann Petri;123250889;null;null;IDD-141
null;null;Anton Koberger;118563890;null;null;IDD-142
null;null;Anton Koberger;118563890;null;null;IDD-143
null;null;Johann Grüninger;118698451;null;null;IDD-144
null;null;Anton Koberger;118563890;null;null;IDD-145
null;null;Anton Koberger;118563890;null;null;IDD-146
null;null;Konrad Kachelofen;137785410;null;0000 0000 5619 2997;IDD-147
null;null;Konrad Kachelofen;137785410;null;0000 0000 5619 2997;IDD-148
null;null;Melchior Lotter d. Ä.;119747162;null;0000 0001 2022 1845;IDD-149
null;null;Cornelius von Zierickzee;137834020;null;null;IDD-150
null;null;Friedrich Creussner;135725259;null;null;IDD-151
null;null;Friedrich Creussner;135725259;null;null;IDD-152
null;null;Lucas Brandis;102429642;null;null;IDD-153
null;null;Peter Wagner;188351264;null;null;IDD-154
null;null;Friedrich Creussner;135725259;null;null;IDD-155
null;null;Johann Mentelin;118783319;null;null;IDD-156
null;null;Bernhard Richel;136009115;null;null;IDD-157
null;null;Anton Koberger;118563890;null;null;IDD-158
null;null;Anton Koberger;118563890;null;null;IDD-159
null;null;Drucker des Henricus Ariminensis (Georg Reyser?);null;null;null;IDD-160
null;null;Johann Amerbach;123073189;null;null;IDD-161
null;null;Ulrich Zel;11907155X;null;null;IDD-162
null;null;Johann Amerbach;123073189;null;null;IDD-163
null;null;Nicolaus Kesler;137735677;null;null;IDD-164
null;null;Friedrich Creussner;135725259;null;null;IDD-165
null;null;Johann Koelhoff d.Ä.;102507554;null;null;IDD-166
null;null;Jacobus Thanner;120963884;null;null;IDD-167
null;null;Johann Zainer d.Ä.;118643479;null;null;IDD-168
null;null;Anton Sorg;12146556X;null;null;IDD-169
null;null;Johann Pfeyl;13644881X;null;null;IDD-170
null;null;C.W.;null;null;null;IDD-171
null;null;Anton Koberger;118563890;null;null;IDD-172
null;null;Anton Koberger;118563890;null;null;IDD-173
null;null;Hans Folz;118534211;null;null;IDD-174
null;null;Hans Folz;118534211;null;null;IDD-175
(USTC);null;Peter Wagner;188351264;null;null;IDD-176
null;null;Hans Mair;null;null;null;IDD-177
null;null;Hans Mair;null;null;null;IDD-178
null;null;Hans Mair;null;null;null;IDD-179
null;null;Konrad Kachelofen;137785410;null;0000 0000 5619 2997;IDD-180
null;null;Johann Koelhoff d.Ä.;102507554;null;null;IDD-181
null;null;Martin Flach;129803227;null;null;IDD-182
null;null;Georg Stuchs;104175265;null;null;IDD-183
null;null;Günther Zainer;118636111;null;null;IDD-184
null;null;Georg Stuchs;104175265;null;null;IDD-185
null;null;Nicolaus Götz?;134099273;null;null;IDD-186
null;null;Georg Husner;136216064;null;null;IDD-187
(ISTC);null;Johann Otmar;115858679;null;null;IDD-188
(GW, USTC);null;Michael Greyff;136138195;null;null;IDD-188
null;null;Jacob Eber;13573004X;null;null;IDD-189
null;null;Johann Amerbach;123073189;null;null;IDD-190
null;null;Johann Prüss;135917018;null;null;IDD-191
