IDD;anmerkung;Drucker;GND_Drucker;ISNI
IDD-270;null;Girolamo Penzio;1037399943;null
IDD-271;null;Francesco I Bindoni;1037559371;null
IDD-271;null;Maffeo Pasini;1037559363;null
IDD-272;per haer. Filippo I Giunta;Filippo Giunta I (Erben);6145361-4;null
IDD-273;null;Gregorius de Gregoriis;120750678;null
IDD-274;null;Girolamo Soncino;118615580;null
IDD-275;per;Giacomo Pocatela;1037557301;null
IDD-276;per;Alessandro Paganini;null;null
IDD-277;null;Pierre Gaudoul;null;0000 0001 2114 8459
IDD-278;per;Giorgio Rusconi;null;null
IDD-279;per;Alessandro Paganini;null;null
IDD-280;per;Alessandro Paganini;null;null
IDD-280;per;Bartolomeo Zani;103757317X;null
IDD-281;null;Arnaldus de Bruxella;118112509X;null
IDD-282;null;Bartholomäus Guldinbeck;14382824X;null
IDD-283;null;Bartholomäus Guldinbeck;14382824X;null
IDD-284;null;Gerardus de Lisa de Flandria;102501270;null
IDD-285;null;Bartholomäus Guldinbeck;14382824X;null
IDD-286;null;Nicolas Jenson (Drucker und Verleger);118917153;null
IDD-287;null;Gabriele di Pietro;129020818;null
IDD-288;null;Johannes de Renno;1172234981;null
IDD-289;null;Gerardus de Lisa de Flandria;102501270;null
IDD-290;null;Johannes Schallus;129068241;null
IDD-291;null;Albrecht Kunne;119107228;null
IDD-292;null;Albrecht Kunne;119107228;null
IDD-293;null;Giovanni Lionardo Longo;(tw-Identifier: pe0208100);null
IDD-294;null;Hermann Liechtenstei;139384936;null
IDD-295;null;Bonetus Locatellus;1037496906;null
IDD-296;null;Albrecht Kunne;119107228;null
IDD-297;null;Alberto Alvise;123971241;null
IDD-297;null;Giovanni Alvise;123971047;null
IDD-298;null;Bernardinus Celerius;1037577914;null
IDD-299;null;Bernardinus Celerius;1037577914;null
IDD-300;null;Gerardus de Lisa de Flandria;102501270;null
IDD-301;null;Johannes de Renno;1172234981;null
IDD-302;null;Nel Beretin Convento della Ca Grande;(tw-Identifier: of0028);null
IDD-303;null;Albrecht Kunne;119107228;null
IDD-304;null;Ugo Rugerius;129066125;null
IDD-305;null;Drucker von Sixtus IV., Bulla de reformatione confraternitatis (H 14811);(tw-Identifier: of1696);null
IDD-306;null;Eucharius Silber;129070149;null
IDD-307;null;Henricus Alding;135703107;null
IDD-308;null;Francesco di Dino;1155872940;null
IDD-308;null;Georgius Herolt;107190292X;null
IDD-309;null;Johannes de Renno;1172234981;null
IDD-310;null;Leonardus Achates de Basilea;138093555;null
IDD-311;null;Nicolaus Laurentii, Alamanus;1037617495;null
IDD-312;null;Ugo Rugerius;129066125;null
IDD-313;null;Johannes Schallus;(tw-Identifier: of1258);null
IDD-314;null;Ulrich Han;102501025;null
IDD-315;null;"Drucker von ""Expositio Psalmorum""";null;null
IDD-316;null;"Drucker von Nicolaus de Lyra ""Contra Hebraeos"" (H 10408)";null;null
IDD-317;null;Jacobinus Suigus;129072052;null
IDD-318;null;Georgius Arrivabene;128973234;null
IDD-318;null;Paganinus de Paganinis;1037551729;null
IDD-319;null;Franciscus Renner de Heilbronn;138332290;null
IDD-320;null;Franciscus Renner de Heilbronn;138332290;null
IDD-321;null;Andreas Torresanus;120730030;null
IDD-321;null;Bartholomaeus de Blavis;1037617150;null
IDD-321;null;Mapheus de Paterbonis;141189061;null
IDD-323;null;Leonardus Wild;1037618734;null
IDD-324;null;Leonardus Pachel;120259516;null
IDD-324;null;Uldericus Scinzenzeler;13839413X;null
IDD-325;null;Franciscus Renner de Heilbronn;138332290;null
IDD-325;null;Petrus de Bartua;1172033803;null
IDD-326;null;Franciscus Renner de Heilbronn;138332290;null
IDD-326;null;Nicolaus de Frankfordia;137194714;null
IDD-327;null;Bartholomaeus de Valdezoccho;103765692X;null
