IDD,anmerkung,Datum
IDD-041,"(1) 1490-00-00--1491-00-00 oder (2) 1487-02-14--1490-05-21 oder (3) 1488-00-00 (GW) oder (4) 1491-00-00, um [vielmehr: 1487-00-00, nicht vor und 1490-00-00, nicht nach] (GW)",1490-00-00--1491-00-00
IDD-164,"(1) 1493-00-00, nicht nach oder (2) 1490-00-00--1495-00-00, um","1490-00-00--1495-00-00, um"
IDD-161,"(1) 1489-00-00, nicht nach (ISTC) [2] 1490-00-00, nicht nach (GW)","1490-00-00, nicht nach"
IDD-166,null,"1490-00-00, um"
IDD-221,null,"1490-00-00, um"
IDD-242,null,"1490-00-00, um"
IDD-362,null,"1490-00-00, um"
IDD-238,null,"1490-12-10, nach"
IDD-177,null,1491-00-00
IDD-176,null,"1491-00-00--1499-00-00, um"
IDD-360,"(1) 1491-00-00--1500-00-00 (ISTC) oder (2) 1495-00-00, um (GW)",1491-00-00--1500-00-00
IDD-178,"(1) 1491-00-00, um (ISTC) oder (2) 1495-00-00, um (GW)","1491-00-00, um"
IDD-179,"(1) 1491-00-00, um (ISTC) oder (2) 1495-00-00, um (GW)","1491-00-00, um"
IDD-041,"(1) 1490-00-00--1491-00-00 oder (2) 1487-02-14--1490-05-21 oder (3) 1488-00-00 (GW) oder (4) 1491-00-00, um [vielmehr: 1487-00-00, nicht vor und 1490-00-00, nicht nach] (GW)","1491-00-00, um"
IDD-028,null,"1491-00-00, um"
IDD-144,null,1492-00-00
IDD-214,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW) oder (3) 1494-00-00, um?","1492-00-00--1493-00-00, um"
IDD-212,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-213,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-215,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-217,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-218,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-216,"(1) 1492-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-216,"(1) 1492-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00, um"
IDD-214,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW) oder (3) 1494-00-00, um?","1492-10-24, nicht vor"
IDD-212,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-213,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-215,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-217,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-218,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-212,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-213,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-215,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-217,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-218,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-10-24, nicht vor"
IDD-145,null,1493-00-00
IDD-165,null,1493-00-00
IDD-204,null,1493-00-00
IDD-397,null,1493-00-00
IDD-361,"(1) 1482-00-00--1488-00-00, um (ISTC) oder (2) 1493-00-00--1494-00-00, um (GW)","1493-00-00--1494-00-00, um"
