IDD,Verfasser,GND_Verfasser,Ttitel
IDD-206,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-207,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-208,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-209,Sifridus de Arena,104209658,Determinatio duarum quaestionum.
IDD-210,Sifridus de Arena,104209658,Responsio ad quattuor quaestiones
IDD-211,null,null,Historia S. Simonis Tridentini
IDD-212,null,null,Geschichte der Juden zu Sternberg mit dem Sakrament
IDD-213,null,null,Geschichte der Juden zu Sternberg mit dem Sakrament
IDD-214,null,null,Geschichte der Juden zu Sternberg mit dem Sakrament
IDD-215,null,null,Geschichte der Juden zu Sternberg mit dem Sakrament
IDD-216,null,null,Geschichte der Juden zu Sternberg mit dem Sakrament
IDD-217,null,null,Geschichte der Juden zu Sternberg mit dem Sakrament
IDD-218,null,null,Geschichte der Juden zu Sternberg mit dem Sakrament
IDD-219,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-220,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-221,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-222,Theobaldus de Sexannia,100961932,(1) Pharetra fidei contra Iudaeos (2) Pharetra fidei catholice
IDD-223,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-224,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-225,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-226,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-227,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-228,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-229,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-230,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-231,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-232,Thomas von Aquin,118622110,(1) Epistola ad ducissam Brabantie (2) De regimine Judaeorum
IDD-233,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-234,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-235,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-236,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-237,"Johannes Matthias Tuberinus, Johannes Mathias Tuberinus",104366281,(1) Relatio de Simone puero tridentino (ISTC) (2) De Simone puero tridentino (GW)
IDD-238,null,null,"Notariatsinstrument betreffend die Streitigkeiten mit dem Freigrafen Hans Volmar genannt von Twern zu Freienhagen wegen der Wormser Juden, 10 Dec. 1490. Johannes Stol: Vollmacht für Heinrich Walck, Speyer, 14 Oct. 1488. Sixtus IV: Bulla 8 July 1480 Roman"
IDD-239,null,null,null
IDD-240,Hans Sachs (Schöner),null,(1) Wer hat ye grösser clag erhort Der Tyran mich erschrocklich sport (USTC). (2) Wer hat ye groͤsser clag erhort (Schöner. Incipit)
IDD-241,Alfonsus de Spina,119229781,Fortalitium fidei
IDD-242,Bernhardin von Siena,11850987X,Quadragesimale de christiana Religiouse
IDD-243,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-244,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-245,Theobaldus de Sexannia,100961932,Dialogus pro Ecclesia contra Synagogam
IDD-246,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-247,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-248,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
