IDD,Verfasser,GND_Verfasser,Ttitel
IDD-313,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-314,"Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi",119105144,Scrutinium scripturarum
IDD-315,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-316,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-317,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-318,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-319,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-320,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-321,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-322,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-323,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-324,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-325,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-326,Alexander de Nevo,100954340,Consilia contra Judaeos foenerantes
IDD-327,"Paolo Morosini, Paulus Maurocenus",137452691,"(1) De generatione aeterna et temporali Christi (ISTC), (2) De aeterna et temporali generatione Christi (GW)"
IDD-328,Celsus Maffeus,121102726,Dissuasoria ne christiani principes ecclesiasticos usurpent census. Prelim: Domitius Calderinus: Epistola ad Jacobum Card. Papiensem. Hermolaus Barbarus: Epistola ad Celsum Maffeum
IDD-329,Antonius Lollius,102558884,Oratio Passionis dominicae coram Innocentio VIII habita contra Judaeorum perfidiam (USTC)
IDD-330,Antonius Lollius,102558884,Oratio Passionis dominicae coram Innocentio VIII habita contra Judaeorum perfidiam (USTC)
IDD-331,"Matheus Künig, Matthäus Künig",136588840,(1) Gedicht von dem getöteten Knaben Simon von Trient (ISTC) (2) Lied bzw. Reimlegende von Simon von Trient (GW)
IDD-332,Johannes Treviensis,100949436),Oratio de veri Messiae adventu
IDD-333,Johannes de Lübeck,12700534X,Prognosticon super Antichristi adventu Judaeorumque Messiae
IDD-334,"Isidorus von Sevilla, Isidorus Hispalensis",118555995,De fide catholica contra Judaeos
IDD-335,"Johannes Baptista Gratia Dei , Giovanni Battista Graziadei",102487405,(1) Liber de confutatione hebrayce secte (2) De confutatione hebraicae sectae
IDD-336,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-337,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-338,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-339,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-340,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-341,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-342,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-343,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-344,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-345,Johannes Calphurnius,123089573,Mors et apotheosis Simonis infantis novi martyris
IDD-346,Petrus Brutus,103146962,Victoria contra Judaeos
IDD-347,Petrus Brutus,103146962,Epistola contra Judaeos
IDD-348,Antonio Borromeo,100050654,De christiana religione contra Hebraeos
IDD-349,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-350,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-350,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-351,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-352,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-353,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-354,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-355,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-356,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-357,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-358,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-359,Giovanni Boccaccio,11851217X,"(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis"
IDD-360,Bernhardin von Siena,11850987X,Speculum peccatorum de contemptu mundi
IDD-361,Bernhardin von Siena,11850987X,Speculum peccatorum de contemptu mundi
IDD-362,Bernhardin von Siena,11850987X,Speculum peccatorum de contemptu mundi
IDD-363,Bernhardin von Siena,11850987X,Sermone sopra l'epistola di San Paolo sul santissimo Sacramento
IDD-364,Bernhardin von Siena,11850987X,Della confessione
IDD-365,Bernhardin von Siena,11850987X,Della confessione
IDD-366,Bernhardin von Siena,11850987X,Della confessione
IDD-367,Bernhardin von Siena,11850987X,Della confessione
IDD-368,Bernhardin von Siena,11850987X,Della confessione
IDD-369,Bernhardin von Siena,11850987X,Vita di San Bernardino
IDD-370,"Antonin von Florenz, Antoninus Pierozzi",118897489,Trialogus super evangelio de duobus discipulis euntibus in Emmaus
IDD-371,null,null,(1) Expositio Psalmorum cum eorum virtutibus (ISTC) (2) Psalm. Expositio psalmorum. (GW)
IDD-372,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-373,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-374,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-375,Nicolaus de Lyra,119238683,(1) Contra perfidiam Judaeorum (2) Quaestio de probatione per scripturas a Judaeis receptas
IDD-376,Johannes Calphurnius,123089573,Mors et apotheosis Simonis infantis novi martyris
IDD-377,Johannes Pfefferkorn,118848801,Zu Lob und Ehre
IDD-378,Thomas Murner,118585886,Benedicite judeorum uti soliti sut ante et post cibi suptionem Benedicere et gratias agere deo egregio doctore thoma murner Argentinensi ordinis minorum interprete.
IDD-379,null,null,Sendbrief
IDD-380,null,null,Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC)
IDD-381,Karl V.,118560093,"Wir Karl der fünfft thun kund, das hinfür inewig zeit kein Jud noch Jüdin weder auff ligende gu(e)ter zinß noch gült umb noch on wucher heimlich oder offentlich nichts leihen (25.06.1521)"
IDD-382,Jacobus Perez de Valentia,119348918,Opuscula
IDD-383,Johannes Pfefferkorn,118848801,Judenfeind
IDD-384,Johannes Pfefferkorn,118848801,Osterbüchlein
IDD-385,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-386,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-387,null,null,Ezechiel spricht der Prophet (Schöner. Incipit)
IDD-388,null,null,Ablaßplakat mit den Arma Christi (Schöner. Incipit)
IDD-389,null,null,Christus im Verhör (Schöner. Incipit)
IDD-390,null,null,Christus an der Martersäule (Schöner. Incipit)
IDD-391,null,null,Judensau (Schöner)
IDD-392,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-393,null,null,Do tausent vierhundert unfundsibenczig jar (Schöner. Incipit)
IDD-394,null,null,Nun wisset waß der wucher tuet (Schöner. Incipit)
IDD-395,null,null,Beatus . Simon . martir (Schöner. Incipit)
IDD-396,"Antonin von Florenz, Antoninus Pierozzi",118897489,Trialogus super evangelio de duobus discipulis euntibus in Emmaus
IDD-397,null,null,Item diß ist die recht form des warhafftigen Titels (Schöner. Incipit)
IDD-398,Johannes Duns Scotus,118528165,(1) Quaestiones in quattuor libros Sententiarum (2) Quaestiones in quattuor libros Sententiarum Petri Lombardi
IDD-399,null,null,Hort ir herren allgemein (Schöner. Incipit)
IDD-400,null,null,"(1) Gedicht von dem Knaben Simon zu Trient (ISTC) (2) Historia S. Simonis Tridentini, deutsch. Simon, ein Kind bin ich genannt. (Gedicht über den Tod des Knaben Simon zu Trient) (GW)"
IDD-401,null,null,Schmerzensmann (Schöner. Incipit)
IDD-402,null,null,Ich pauck vnd pfeyff euch allen herein (Schöner. Incipit)
IDD-403,Johannes Pfefferkorn,118848801,"Vaterunser, Ave Maria und Credo"
IDD-404,null,null,Christus vor Kaiphas (Schöner. Incipit)
IDD-405,null,null,Der Wilde Mann (Schöner. Incipit)
IDD-406,null,null,"(1) Jurist, Jude und Weib. (2) Der Jurist mir seinem bůch (Schöner. Incipit)"
IDD-407,null,null,Der heiligen/ vnbefleckten/ ausserwelten/ einigen Braut Jesu (Schöner. Incipit)
IDD-408,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-409,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-410,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-411,"Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481)","102849587 (i.e. Alfonsus Bonihominis, GND 119061481)","(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent"
IDD-412,null,null,Drei Gů(v mit Kreis)t Ivdin (Schöner. Incipit)
IDD-413,null,null,Die Drei Gů(v mit zwei Punkten)ten Ivden (Schöner. Incipit)
