IDD;Mitverfasser;GNDMitverfasser;Mittitel
IDD-143;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-143;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-143;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-144;Guillaume Le Breton (Kommentator);11884038X;Expositiones prologorum.
IDD-144;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-144;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-144;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-145;Guillaume Le Breton (Kommentator);11884038X;Expositiones prologorum.
IDD-145;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-145;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-145;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-146;Guillaume Le Breton (Kommentator);11884038X;Expositiones prologorum.
IDD-146;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-146;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-146;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-181;Henricus de Hoyta;100945708;De contractibus
IDD-181;Johannes Gerson;118557866;Contra sectam Mahumeticam, non indignus scitu libellus. Cuiusdam diu captivi Turcorum provinciae septemcastrensis, de vita et moribus eorundem alius non minus necessarius libellus. libellus de vita et moribus Judaeorum
IDD-181;Nicolaus Oresme;118734946;De moneta
IDD-181;Ricoldus da Montecroce;100959431;Contra sectam Mahumeticam, non indignus scitu libellus. Cuiusdam diu captivi Turcorum provinciae septemcastrensis, de vita et moribus eorundem alius non minus necessarius libellus. libellus de vita et moribus Judaeorum
IDD-205;Pseudo-Pontius Pilatus;118792172;Epistola ad Tiberium
IDD-208;Pseudo-Pontius Pilatus;118792172;Epistola ad Tiberium
IDD-242;Guido de Marchia;102475040;Disputatio inter mundum et religionem.
IDD-246;Martin Martinez de Ampies;122681249X;De Fine mundi [Spanish] Sermon de señor san vicente bienaventurado, Tr: Martin Martinez de Ampies
IDD-246;Martin Martinez de Ampies;122681249X;El Libro del Judicio postrimero.
IDD-246;Pseudo-Vincentius Ferrerius;118627082;De Fine mundi [Spanish] Sermon de señor san vicente bienaventurado, Tr: Martin Martinez de Ampies
IDD-249;Martin Martinez de Ampies;122681249X;De Fine mundi [Spanish] Sermon de señor san vicente bienaventurado, Tr: Martin Martinez de Ampies
IDD-249;Martin Martinez de Ampies;122681249X;El Libro del Judicio postrimero.
IDD-249;Pseudo-Vincentius Ferrerius;118627082;De Fine mundi [Spanish] Sermon de señor san vicente bienaventurado, Tr: Martin Martinez de Ampies
IDD-287;Johannes Hinderbach;118915967;Epistola Raphaeli Zovenzonio
IDD-287;Johannes Matthias Tuberinus, Johannes Mathias Tuberinus;104366281;Epistola Raphaeli Zovenzonio
IDD-287;Johannes Matthias Tuberinus, Johannes Mathias Tuberinus;104366281;Carmen ad Gabrielem Petri. Carmen ad Johannem Hinderbachium
